ID,Manchu,English
194,orin jak_n de jalan-i janggin fulu seme mimbe nakabuha.,"On the twenty-eighth, because there were too many colonels, I was discharged from that post."
195,uy_n biyai ice de ganduhai buyarame morin be tolome orho liyoo gaimbi seme.,On the first day of the ninth month Ganduhai petty-mindedly decided that people would receive fodder on the basis of the number of horses.
196,janggin cooha morin be baicafi ekiyefi. uncehen tolome orho liyoo gaibure jakade. geren gemu ambula tooha.,"After officers and soldiers checked the number of horses which had decreased. Because [Ganduhai] then allotted fodder on the basis of the number of tails, everybody was scolding vehemently."
197,ice ninggude y_n nan be gaime dosi seme hacihiyara bithe isinjifi selgiyefi.,On the sixth an urgent dispatch arrived ordering that we invade and conquer Yunnan.
198,janggin cooha be tucibure de. meiren-i janggin masitai mimbe morin kutule hibcan seme tucibuheku.,"When officers and soldiers were about to set out, Brigadier-general Masitai did not send me because my horses and servants were so few. "
199,barkan age. gioroi afan. ganduhai baru gisurefi mimbe murime tucibuhe.,"Baikan Age and Gioro Afan talked to Ganduhai, insisting sending me out."
200,juwan biyai juwan de.,"On the tenth of the tenth month,"
201,jurgan ci unggihe bithede. g_sai ejen laita be julergi be dailara amba jiyangiy_n obufi. y_n nan be gaime dosikini sehebi.,"in a document sent from the Ministry, it was said that Lieutenant-general Laita had become Field Marshal to Wage War to the South, and was now to invade and conquer Yunnan."
202,juwan emude beging-ni cooha. nan ning de jime. g_sai ejen maci bargiyahak_ ofi usame isinjiha.,"On the eleventh the Beijing troops reached Nanning, but were disappointed because Lieutenant-general Maci did not go out to receive them when they arrived."
203,Juwan nadan de g_sai ejen joo liyan amargi meyen-i cooha be baksan banjibufi yabume.,On the seventeenth Lieutenant-general Zhao Lian ordered that the rear-guard troops continue to march divided up into squads.
204,nan ning be dosire be tuwaci. ambula horonggo ofi geren gemu saimaha.,"When we saw them enter Nanning, everyone praised them for their imposing appearance."
205,o__on biyai ice sunja de.,"On the fifth of the eleventh month,"
206,hesei tak_raha dailara cooha be tuwame jurambure ashan-i da ekuri. julergi be dailara amba jiyangiy_n laita gemu nan ning de isinjifi. ,Imperially appointed to supervise the expeditionary army Sub-Chancellor of the Grand Secretariat Ekuri and Field Marshal to Wage War to the South Laita reached Nanning. 
207,uheri cooha be ilan meyen banjibufi. ,They divided the whole army into three squadrons
208,tofohonde hife. araha meiren-i janggin herbu uju meyen be gaifi jurambi. ,On the 15th Hife and Commissioned Brigadier-general Herbu will set out at the head of the first squadron. 
209,juwan jak_n de g_sai ejen maci.meiren-i janggin hungsilu. ujen cooha-i g_sai ejen joo liyan jai meyen be gaifi jurambi.,"On the 18th Lieutenant-general Maci, Brigadier-general Hong Shilu, and Lieutenant-general of the Hanjun Zhao Lian will set out at the head of the second squadron."
210,orin ilan de amba jiyangiy_n laita. g_sai ejen lebei. tui janggin ehene. meiren-i janggin masitai. ujen coohai meiren-i janggin dzu jy cun ilaci meyen be gaifi. y_n nan be gaime jurambi.,"On the 23rd Field Marshal Laita, Lieutenant-general Lebei, Major-general of the Guards Ehene, Brigadier-general Masitai, and Brigadier-general of the Hanjun Zu Zhichun, at the head of the third squadron will set out to take Yunnan."
211,geren cooha gemu ihan emke juwe udaha.,All the soldiers bought one or two cows.
212,ihan orin yan. morin ninju. nadanju yan de uncambi.,"Cattle were sold at 20 ounces per head, and horses at sixty or seventy."
213,amba jiyangiy_n. janggisa be yooni isabufi fa__ame yabuki serengge tuci seme fonjiha.,"The Field Marshal gathered the officers, and asked that those willing to struggle on step forward."
214,geren le la seme. bi bi gemu hoton. hiyahan be ucaraci fekumbi seme. kar mir seme jabumbi.,All answered in one loud voice: “Each and every one of us will leap forward whenever we meet city walls and battlements.”
215,mini morin damu duin funcefi.,I only had four horses left.
216,duin tangg_ yan de duin morin. ninggun ihan udaha.,With 400 ounces of silver I bought four horses and six head of cattle.
217,kutule morin umesi hibcan ofi. ambula ali_ame joboho.,"Because horses and servants were so few, I was worried and distressed."
218,ice sunja-i dobori wargi ci tucike usiha. _anggiyan sukdun sumakangge orin da funcembi.,On the night of the fifth a star appeared in the west; it had a white mist that spread across an area of over 20 da.
219,arbun loho-i adali. da-i ergi fulah_n sabumbi.,"One could see that in shape it resembled a sword, and it was red at the base."
220,niyalma tome diyan-i baru dosici ehe seme gisurehe.,Everyone said that if it advanced towards the imperial palace it would be a bad omen.
221,tere y_n nan be toktobure todolo bihebi.,this was an auspicious sign for the pacification of Yunnan.
222,nan ning de g_sa tome janggin juwe. tulergi monggo cooha be dabume morin ak_ sakda. nimekungge emu nirui juwete uksin be werirede. bi yeremu. handu sei jergi juwan ilan uksin be werihe.,"Since two officers from each banner and, in addition to the Outer Mongol troops, two armored soldiers from each company who were without horses, old, or sick were to be left in Nanning, I, Yeremu, Handu, and the others left thirteen armored soldiers."
223,ganduhai mimbe uju meyen de banjibuha.,Ganduhai made me join the first squadron.
224,tofohon de g_sai ejen hife se uju meyen-i ilata bayara. sunjata aliha cooha be gaifi. nan ning ci jurafi. ,"On the fifteenth Lieutenant-general Hife and the others, leading the first squadron, which was formed by three bayara guards and five cavalrymen [out of each company], left Nanning, "
225,orin ba yabufi tataha.,after a march of 20 li set up camp.
226,minde kutule morin komso ofi. munah_n-i jurafi. damu dain de buceki seme gunime. gebu gaiki sembi.,"Because I only had a few servants and horses left, I departed in a surly mood, and could only think that I would die in battle, and gain honor."
227,u yuwan hiyan-i sunja ba golmin alin-i angga de yarubufi.,We were led into a 5 li long mountain pass in Wuyuan county.
228,cibume juwe dobori dulifi.,we squeezed through it for two nights.
229,juwan nadan de teni angga be tucike.,On the seventeenth we finally came out of the mountain pass.
230,u yuwan hiyan be dulefi. dobori dulihai alin-i angga. alin-i jidun-i narh_n jugun be mudakiyame jodome yarubufi . ,"Having past Wuyuan county, then we were led in a meandering manner, stopping and going, on a narrow path through mountain passes and along the back of the mountain."
231,ninggun tangg_ babe juwan duin inenggi. dobori dulime yabufi.,Proceeding at night we covered 600 li in fourteen days.
232,orin jak_n de,"On the twenty-eighth,"
233,tiyan jeo de isinafi tuwaci. h_lha burulahabi.,"when we reached Tianzhou, we realized that the bandits had already fled."
234,jen yuwan. gui jeo be baha seme donjiha.,We heard that Zhenyuan and Guizhou had been taken.
235,orin uy_nde orin bai na biyoo de tataha.,On the twenty-ninth we marched for 20 li and set up camp at Nabiao. 
236,g_sin de g_sin bai je ma de tataha.,"On the thirtieth we set up camp 30 li further on, at Zhaima."
237,gui loo bade h_lha bi seme selgiyefi. dobori uksilehei jucelehe.,"It was announced that there were bandits in Guiluo, so at night we mounted guard wearing armor."
238,jorgon biyai ice de uksilef i orin ba yabufi. ju jio tang de tataha.,On the first day of the twelfth month we marched in full armor and set up camp in Zhujiutang.
239,gui loo-i h_lha burulahabi.,The rebels of Guiluo had fled.
240,ice juwe de hife se handu baifi. dehi inenggi jetere bele niohume gaisu. amba jiyangiy_n be aliyame indembi seme selgiyehe.,"On the second Hife and others issued the following order: “Search for unhusked rice, and obtain and pound rice for forty days; then rest and wait for the Field Marshal.” "
241,k_waran-i tome yooni heliyen congki_ak_ arafi. eye feteme handu baifi bele niohumbi.,"Everyone in the encampment was making pounders and pestles, digging holes, and looking for unhusked rice to pound into husked rice."
242,ice duide amba jiyangiy_n aliya seme bithe unggihe.,On the fourth the Field Marshal sent a dispatch ordering to wait.
243,ice sunja de tusy-i da mu wang dahaha.,On the fifth the leader of local chiefs Muwang surrendered.
244,nenehe jiyangiy_n manggitu-ni unggihe jiyansi jifi. tiye so kiyoo de h_lha tuwa sindafi burulaha. musei tidu sangge lu _ui giyang be dooha seme alambi.,"Spies previously sent by General Manggitu came back and reported that the rebels had fled after setting the Tiesuo bridge on fire, and our Provincial Military Commander Sangge had crossed the Lushui river."
245,hebei amban. k_waran da. tui bayara janggin se acafi hebdefi. meni cooha damu sunja inenggi bele arame bahambi. jai sunja inenggi bele bufi. eici dosire. amba jiyangiy_n be aliyara babe. amba jiyangiy_n-i gisun be dahame yabuki seme bithe alibuha.,"The councilors, camp commanders, and the major-generals of the Guards met to deliberate, and thereafter submitted the following written report:                                
Our troops have obtained provisions for five days only. If [you] provide them with food for another five days, then we shall follow the Field Marshal’s order as to whether we should set out or wait here for the Field Marshal."
246,ice ninggude. amba jiyangiy_n-i unggihe bithede.,"On the sixth, in a document sent by the Field Marshal"
247,gui jeo be alibume tidu liben_en.siyun fu dzoo _en gi dahaha:ne suwende juwan cuwan-i bele unggihe.mimbe aliya sehebi.,"it said: “Provincial Commander Li Benshen80 and Provincial Governor Cao Shenji have surrendered, giving up Guizhou. Now, I have dispatched ten boats to you with rice. Wait for me.”"
248,je ma tang-ni bade juwan emu inenggi indehe.,We rested in Zhaimadang for eleven days.
249,juwan juwede dosi sere bithe isinjifi jurafi.,"On the twelfth we received a written order to advance, and set out. "
250,jugun hafirah_n alin-i holo isheliyen. handu cyse lifak_ ofi. akame jobome. morin-i aciha tuheme lifame.,"Because the road was a cramped pass in a narrow mountain ravine, and because of the swampy rice fields, the march was extremely hard and distressing and the horses’ loads fell off or got stuck. "
251,jak_n dobori dulime. juwe tangg_ uy_nju babe yabuha.,"We proceeded for eight nights, covering 290 li."
252,juwan uy_n de ba du ho bira muke de ehe sukdun bi. ume jetere seme selgiyehe.,On the nineteenth we were ordered not to drink the water of the Badu river because there was a bad smell.
253,hife sei unggihe emu bithe de. janggin-i beye de afabume. amba jiyangiy_n de benebu sehebi.,"A document was sent by Hife and others, which ordered that it should be entrusted to the officers to be delivered in person to the Field Marshal."
254,musei g_sa de isinjifi. ganduhai minde bufi benehe.,After this document reached our Banner Ganduhai handed it over to me and I delivered it.
255,orin de yan yang tang ci jurafi. bujan-i dorgi be yabume. _un be saburak_.,On the twentieth we set out from Yanyangtang and marched through a forest where sunlight could not be seen.
256,tofohon bai dubede yarume tataha.,After marching in close order for 15 li we set up camp.
257,orin emude g_sin sunja ba yabufi. si lung jeo de isinaf i tataha.,"On the twenty-first we marched for 35 li, reached Xilongzhou and set up camp."
258,tiyan jeo. si lung jeo-i siden ilan tangg_ jak_nju ba funcembi.,The distance between Tianzhou and Xilongzhou exceeds 380 li.
259,si lung jeo efujefi hoton ak_. susu-i muru bi.,"After Xilongzhou was captured, no walls were left and the place had a barren and desolate appearance."
260,lung tu guwan dahafi. ba nai tusy sunja tangg_ okdome jifi.,"Longtukuan surrendered, and 500 native chiefs came to welcome."
261,fukiyoo cabume. muse moo sacifi buhe.,We chopped wood and gave it to them to build a pontoon bridge.
262,orin juwede amba jiyangiy_n hebei ambasa be isabufi. hebe_efi fukiyoo manggame juraki.,"On the twenty-second the Field Marshal met with the councilors, and decided to set out as soon as the pontoon bridge had been completed."
263,niowanggiyan tu be juleri. sirame sonjoho uju meyen-i gabsihiyan. emu nirui ilata bayara. ilata aliha cooha be yabubuki. gemu orin sime bufi. hebei amban lebei. hife. ehene se gaifi. orin ninggude jurakini.,"Put the Green Standard troops in front, followed by a select first squadron with the Vanguard Regiment and three guards and three cavalrymen from each company, and be given a full complement of horses. Under the command of Councilors Lebei, Hife, and Ehene, it shall shall set out on the 26th."
264,sonjoho jai meyen-i juwete bayara. ilata aliha cooha de gemu morin sime bufi. amba jiyangiy_n. hebei amban maci. hungsilu. herbu. joo liyan se gaif i amala jurambi.,"A select second squadron, composed of two guards and three cavalrymen from each company, with a full complement of horses, led by the Field Marshal and by Councilors Maci, Hong Shilu, Herbu, Zhao Lian, and others, shall set out soon afterwards. "
265,nukte meyen de. gala de juwete k_waran-i da. g_sa tome nadan janggin. emu nirui ilata moorin ak_ cooha de. ihan sime bufi. ,"The baggage column and the wing squadrons should be composed of two camp commanders and seven captains from each banner, and by three soldiers without horses from each company, and must be provided with cattle."
266,golo hoton-i sunja tangg_ morin ak_ cooha de. inu ihan sime bufi. ,500 infantry soldiers from the provincial capital must also be provided with cattle.
267,amala elhe yabukini.,These shall march behind at a slower pace. 
268,dzungdu gin guwang dzu ini harangga niowanggiyan tu be gaifi. uncehen be fiyamjilakini,All the Green Standard troops under the direct command of Governor-general Jin Guangzu shall serve as rearguard.
269,ganduhai. mimbe jai meyen de banjibuha.,Ganduhai made me join the second squadron.
270,orin ninggude uju meyen-i cooha juraka.,On the twenty-sixth the troops of the first squadron left.
271,elhe taif in-i _ah_n coko orici aniya.,"On New Year’s Day of the twentieth year of Kangxi,"
272,aniyai ice inenggi si lung jeo ci jurafi. fukiyoo be doofi.,"year of the White-Gray Rooster, we left Xilongzhou, and passed the pontoon bridge. "
273,ba di ho bira be tuwaci. muke niowanggiyan bime. eyen turgen. alin birai cikin-i jugun juwe cy isimbi.,"One could see that the river water looked greenish, the current was fast, and the track on the bank of the river, along the mountainside, was only two feet wide."
274,cooha morin yarubufi cibume. ilihai juwan ba yabuhak_ yamjifi.,Soldiers and horses were all pressed one against the other. We had not proceeded 10 li when it became dark.
275,tatara ba baharak_ ofi. birai dan-i yonggan de tatafi .,"Because it was impossible to find a place to camp, we pitched our tents in the sand on a bend of the river. "
276,edun de yonggan furgime. muke nure udu gin. ulgiyan emke udafi aniya araha.,"The sand was being lifted up in the wind. We bought a few pints of water and spirits, and one pig to celebrate the New Year. "
277,bi dolori akame ureme damu sakdasa be kidume g_nime. jibehun-i dolo songgoho.,"In my heart I felt sad and disconsolate and, longing for my old people, I wept under the blanket. "
278,amba jiyangiy_n jugun narh_n. ing ilire ba ak_. siran siran-i acara be tuwame ili seme selgiyehe.,The Field Marshal issued an order: “The road is narrow; there is no place to set up the encampment. Pitch the tents one after the other as you see fit.”
279,bai irgen be gajif i fonjici. ,We brought in some local people and questioned them.
280,julgeci ebsi cooha yabuha jugun waka. hangsi ci amasi. tojin. meihe. beten bira de jalufi. bira duranggi ofi. muke bisakade. jugun uribufi. niyalma yabuci ojorak_. ,"Since ancient times there has never been a road for a marching army. After the hangsi festival, peacocks, snakes, and worms fill the river. Because the river is muddy, when the water overflows the road becomes submerged and people cannot get through. "
281,ehe sukdun de goici bucembi. tuttu of i meni boo be alin-i ninggude arahabi.,"If they are struck by foul vapors, they will die. Therefore we build our houses on the top of the mountain."
282,tuwaci mukei hirgen moo-i subehe de. a__an kemuni takahabi. ,"Upon observation, one could often detect movements on the riverbed and in the branches of trees."
283,jai inenggi jurafi ilihai yamjime. emu juwe maikan arara bade yarume tatame. ,"On the next day we departed and, as soon as night started to fall, we filed into a place where only one or two tents could stand, and set up camp."
284,ice ilan de _i men k’an-i h_lha be gidaha seme donjiha.,On the third we heard that the rebels at Shimen Ridge had been defeated.
285,ice jak_n de teni ban dun teng de isinafi tatafi. ,Not until the eighth we reached and set camp at Bandunteng.
286,_i men k’an de cibufi jak_n inenggi indehe.,"Squeezed tight, we stopped at Shimen Ridge for eight days."
287,jugun de orho sekteme yabu seme selgiyehe.,Then we were ordered to cover the road with grass when marching.
288,tofohon de jurafi.,On the fifteenth we set out again
289,ser seme bonome agara jakade. tofohon ba dabagan-i narh_n jugun be yafahan _aban huwaitafi yabume. _i men k’an-i fejile tataha.,"because it was raining and hailing lightly, we strapped leather and iron cleats and walked on foot on the narrow mountain road for 15 li, and set up camp at the foot of Shimen Ridge."
290,juwan ninggude _i men k’an-i uju terkin be micume tafame.,"On the sixteenth crawling and slipping along the way, we climbed up to the first level of Shimen Ridge. "
291,kanggarame niolmon. orho sektefi. morin be emke emken-i ganame arkan seme lifak_ ehe babe dulerede.,"We spread grass on the slippery moss, and fetching the horses one by one, we crossed with great effort that swampy and hideous place."
292,tuwaci gulak_ de morin fuhemefi labdu bucehebi.,One could see that many horses had fallen into the precipice and died.
293,niyalmai bethe yooni fukanafi yabuci ojorak_.,"The men’s feet were covered with blisters, and could not go any further."
294,ilan ba yabufi farhun oho.,After we had walked for 3 li it was getting dark.
295,tuheme afame arkan jai k’an-i wehe terkin be dulefi tataha.,"Staggering and stumbling, we struggled on crossing over the rock layer of the second ridge, and set up camp."
296,tuwaci waha h_lha emke emken-i bi.,One could see one by one the bodies of the rebels who had been killed.
297,juwan nadan de yafahan orin ba yabufi.,On the seventeenth we marched 20 li on foot. 
298,bethe nimeme. arkan seme ilaci k’an-i terkin edulefi. morilaci ome selafi.,"With aching feet we struggled to cross over the third level ridge, where we rejoiced for being able to ride horses."
299,geneme an lung so de isinafi.,So we proceeded until we reached Anlongsuo.
300,tuwaci h_lha dahafi irgen-i hehe juse be hoton-i baru gajime jimbi ,One could see that the rebels who had surrendered were coming towards the city taking the common people’s women and children.
301,bi teni toktoho ba seme. bakcilaha k_waran-i da hose-i baru gisurefi. ,"I thought that was just the right place to stop, and said so to Hose, who is the head of the encampment that faces mine."
302,hoton be dulefi tataha.,We set up camp after we passed the city. 
303,si lung jeo ci an lung so-i siden ehe jugun juwe tangg_ orin sunja ba funcembi.,Between Xilongzhou and Anlongsuo there are over 225 li of awful road.
304,juwan jak_n de jurafi.,On the eighteenth we set out.
305,tuwaci ba _ehun onco.,The area appeared wide and barren.
306,julergi meyen be amcame dobori dulime ninju ba yabuha.,"We joined up with the squadron in front and, marching all night, we covered 60 li."
307,juwan uy_n de indefi selgiyefi ilan meyen banjiburede.,On the nineteenth we rested. An order was issued that we form three 
308,ganduhai.mimbe uju meyen de banjibuha.,Ganduhai assigned me to the first squadron.
309,orin emude amba jiyangiy_n kubuhe lamun dobori dulime joboho seme.,On the twenty-first the Field Marshal said that the Bordered Blue Banner would have to endure an overnight march.
310,gajartai nikan emke bufi. juwe inengg dokolome jak_nju ba yabuha.,"We were given a Chinese guide, and in two days we covered 80 li taking shortcuts."
311,orin ilande ma biye ho bira be fukiyoo came indehe.,On the twenty-third we built a pontoon bridge on the Mabie River and rested.
312,h_lha huwang dzoo ba de ing ilifi. alime gaihabi seme donjiha,"We heard that the rebels were camped at Huangcaoba, and ready to resist."
313,orin ninggude fukiyoo _anggafi.,On the twenty-sixth the bridge was completed
314,uheri nukte de emu nirui emte morin ak_ cooha be werifi. cimari gemu uksilefi bira doombi seme selgiyehe.,"we were ordered to leave one soldier without horse from each company with the entire baggage train, and to cross the river on the next day wearing armor."
315,orin nadan de amba jiyangiy_n amba cooha be gaifi. bira be doofi.,On the twenty-seventh the Field Marshal crossed the river with the whole army
316,_ehun babe g_sin ba yabufi h_lhai ing de nikenefi.,after a march of 30 li over a barren territory we approached the rebels’ encampment.
317,tuwaci lifak_ handu cyse. alin be gaime. keremu ulan arafi ing ilihabi.,"One could see the swamp-like rice paddies. An encampment has been set up against the mountain, and protected with ramparts and moats."
318,ba ambula ehe. afaci ojorak_ ofi. uthai cooha be gocika. ,"That place was a really wicked one, and could not be attacked. Therefore the general withdrew the army. "
319,ging hecen ci giyamun ilibume jihe icihiyara hafan walda se isinjifi .,"Departmental Director Walda and others, who had come from the capital to build relay stations, arrived "
320,dergici. hafan coohai sain be fonjiha. ,"An imperial dispatch, in which the emperor inquired about the well-being of officers and soldiers."
321,amba jiyangiy_n geren be gaifi. aniya doroi hengkilehe.,"The Field Marshal, leading everyone else, prostrated himself in accordance with the New Year’s rites."
322,orin jak_n de ma biye ho bira be doofi. sunja ba yabufi ing ilifi. yooni uksilehei jucelehe.,"On the twenty-eighth we crossed the Mabie River and, after a 5-li march set up camp, mounting guard in full armor."
323,orin uy_nde amba jiyangiy_n amba cooha be gaifi. faidafi ibeme.,On the twenty-ninth the Field Marshal arranged the army in rows and advanced.
324,alin bigan be sektefi. orin sunja ba yabufi. afara arame. h_lhai ing be fehufi kimcime.,"We went through the mountain and the wilderness, and after a march of 25 li, feigning an attack, we closed in on the rebels’ camp. "
325,tuwaci cin-i dere be afaci ojorak_.,We realized that it was impossible to attack it frontally.
326,fiyanjilafi akdulame bakcilame ing iliha.,"We came to the rear, and made fortifications and set up our camp in front of it."
327,juwe biyai ice de. uheri cooha be baksan baksan jergi jergi faidabufi.,On the first day of the second month the whole army was ordered to line up by units and ranks.
328,ibefi afara babe toktobume tuwaha.,"We advanced, and tried to decide the place we were going to attack."
329,musei coohai h_sun ambula etuhun.,Our troops are mighty and powerful.
330,ice juwe de,On the second
331,amba jiyangiy_n.ing be tuwakiyara duin tangg_ manju cooha. emu minggan niowanggiyan tu cooha be yarkiyabume. cin-i dere de bakcilabufi.,the Field Marshal ordered 400 Manchu soldiers and 1000 Green Standard soldiers who were mounting guard at the camp to make a frontal attack as a decoy. 
332,makmaha meyen de hebei amban ehene. maci. uju meyen de hebei amban hife. hungsilu. herbu. meiren-i janggin masitai. ujen coohai dzu jy cun. jai meyen de g_sai ejen lebei. ujen coohai joo liyan sede cooha be afabufi .,"Then he ordered Councilors Ehene and Maci to lead the wing squadron; Councilors Hife, Hong Shilu, Herbu, Lieutenant-general Masitai, and Zu Zhichun, of the Hanjun, to lead the first squadron; and Lieutenant-general Lebei and Zhao Lian, of the Hanjun, to lead the second squadron. "
333,niowanggiyan tu be juleri. manju cooha be amala duin ursu faidabufi.,"He also ordered the Green Standard troops to line up in front, and the Manchu troops in the rear, arranged in four echelons. "
334,kalka gida jafabufi. h_lhai ing ni amargi narh_n alin-i jugun be gaime iberede.,Holding shields and spears [we] advanced along a narrow mountain road behind the enemy camp. 
335,gaitai talman talmafi hanci niyalma be ishunde saburak_.,Suddenly a thick fog rose and even men [standing] close-by could not see one another.
336,alin-i angga de h_lha belheheku. ,The rebels at the entrance of the mountain pass were not ready. 
337,musei cooha dosifi. poo jilgan be lakcarak_ donjimbi.,"Our troops advanced, and we could hear the inces- sant sound of artillery. "
338,musei gamaha kalka be waliyahangge jugun de hihahabi.,Shields that had been abandoned by our troops could be seen everywhere on the road.
339,bi tu be gaifi feksime genefi. alin-i anggai dolo dosifi. tuwaci h_lha ingci tucifi. hiyahan. kalka. sufan be faidafi. musei niowanggiyan tu baru afambi. ,"Carrying a flag I ran forward, entered the mountain pass, and saw rebels who, had come out of the encampment, lined up chevaux-de-frise, shields and elephants, and joined battle with our Green Standard troops. "
340,poo miyoocan-i jilgan turi tashara adali. na durgembi.,"The fire from cannon and muskets sounded like frying beans, the earth was shaking."
341,musei niowanggiyan tu _ahuri feye bahafi. emu jergi a__afi tomsoho.,"_ahuri, a man of the Green Standard, received a wound, but got up once again. "
342,musei uju meyen. _ak_aha meyen kaicame dosirede.,Our first and wing squadrons advanced yelling.
343,na ujelere gese.,It was as if the earth itself was falling down.
344,h_lha alime muterak_. gidabufi burulara de.,"The enemy could not hold their ground and, been overwhelmed, started to flee."
345,bi tu be gaifi. wame alin-i ing de nikename.,"I was carrying a flag and, killing, came closer to the camp on the mountain side."
346,ing-ni h_lha keremu sangga ci miyoocan sindambi.,The rebels in the camp were firing their muskets from holes in the ramparts.
347,eb_eme alin ci wasifi. moringga h_lha be sunja ba fungeme bo_ome waha.,Hurrying down the mountain slope I pursued and killed mounted rebels for 5 li.
348,cooha be bargiyafi bederere de. tuwaci giran hetu undu bigan de sektefi. ,"When the troops were recalled and returned to the camp, one could see corpses covering that wilderness in all directions."
349,senggi nade eyembi.,Blood was flowing on the ground. 
350,ing de poo miyoocan agura hajun ehe sain jaka be hiyahame waliyahabi.,"In the camp cannons and rifles, whether in good or bad condition, had been abandoned all over the place. "
351,sufan sunja baha.,We captured five elephants.
352,jafaha h_lhai jiyangiy_n wang io gung. an yang de fonjici. h_lhai holo jiyangiy_n ho gi dzu. wang hung siyun. joo ioi. wang hung gioi. bakimeng jang- guwang siyan. lio mi jen meni uyun nofi. uheri juwe tumen isire h_lha be gaifi. kioi jing fu. loo ping jeo-i oyonggo jugun-i huwang dzoo ba be tuwakiyame bihe seme alambi.,"When they were interrogated, the captured rebel generals Wang Yougong and Zhan Yang reported that the rebel false generals He Jizu, Wang Hongxun, Zhao Yu, Wang Hongju, Ba Qisheng, Zhang Guangxin, Liu Shizhen, and themselves, nine people in all, at the head of approximately 20,000 soldiers all together, were protecting Huangcaoba, on the strategic road to Loping, in the Qujing Fu."
353,ice ilan de indefi.,On the third day we rested. 
354,janggin cooha be forgo_ome meyen banjibure de. ganduhai kemuni mimbe uju meyen de bibuhe.,"When officers and soldiers were reassigned and squadrons were formed, Ganduhai assigned me again to the first squadron."
355,ice duide dehi ba yabufi. dobori tataha.,"On the fourth we marched for 40 li, and then set up camp at night."
356,ice sunja de dehi ba yabufi. huwang ni ho bira be dooha.,On the fifth we marched 40 li and crossed the Huangni River.
357,ice ninggude dabagan dabame. dobori dulime g_sin ba yabuha.,"On the sixth we climbed over a mountain ridge and, marching overnight, covered 30 li."
358,ice nadan de amba y_n nan po dabagan be yafahan tafarade,"On the seventh, as we were climbing on foot the great mountain ridge of Yunnanbao"
359,amba edun dame. yonggan buraki de yasa sohime yabuci ojorak_ .,"a formidable wind rose, and because the sand was getting into our eyes, it became impossible to proceed."
360,g_sin ba yabufi. dobori farhun talman talmaka.,"Having marched 30 li, it got dark for the night, and a heavy fog rose up."
361,ice jak_n de amba edun dame.,"On the eighth a strong wind blew,"
362,buraki de yasa neici ojorak_.,it was impossible to open our eyes because of the dust.
363,i dzo hiyan be duleme ninju sunja ba yabuha.,We passed Yizuo county covering 60 li.
364,ice uy_n de g_sin ba yabufi. h_wang ho san de ilifi.,"On the ninth we marched 30 li, then stopped at Huanghe Mountain"
365,kioi jing. giyoo sui de mejige gaime. g_sa de emu janggin.orin uksin be tucibu seme selgiyehe.,"We were ordered to send a Banner officer, together with twenty armored soldiers, out on a mission to gather information in Qujing and Jiaoshui."
366,ganduhai mimbe tucibuhe,Ganduhai sent me.
367,juwan de bi uksin sabe gaifi. feksime tangg_ ba funceme yabufi. yuwai jeo de isinafi.,"On the tenth I, at the head of the armored soldiers, rode over 100 li at full gallop, and reached Yuezhou."
368,tuwaci h_lha ak_. kioi jing kiyoo ci bederehe.,"Upon inspection there were no rebels, and returned by way of the Qujing bridge."
369,juwan emude kioi jing giyun min fu-i jyfu coo gui minggan funcere h_lha be gaifi dahaha.,"On the eleventh Li Chaogui, the Prefect of Minfu in the Qujing Fu, surrendered with 1,000 men."
370,amba jiyangiy_n cooha be gaifi. kioi jing be duleme. orin ba yabufi tatafi.,"The Field Marshal, at the head of the army, passed Qujing and camped after a march of 20 li. "
371,giyoo sui jeo. y_n nan. gui jeo. sycuwan-i jugun hafunjiha oyonggo hoton seme. dobori meni uju meyen-i cooha be unggihe.,"Because Jiaoshui is an important city on the routes toYunnan, Guizhou, and Sichuan, he ordered my first squadron’s soldiers to go there at night."
372,orin sunja ba yabufi. giyoo sui de isinaci.,"After having proceeded for 25 li, we reached Jiaoshui."
373,h_lha aifini burulahabi.,The rebels had run away earlier.
374,hoton-i dzang de sunja tumen hule bele bi,"In the city granaries there were 50,000 hule of rice."
375,bele gaime ilan inenggi indehe.,We seized the rice and rested for three days. 
376,gui jeo jangtai beisei cooha isinjiha.,The Guizhou army of Jangtai Beise arrived.
377,amba jiyangiy_n meyen forgo_ome banjibu. duici ging-ni erinde y_n nan be gaime jurambi seme selgiyehe.,"The Field Marshal issued orders that troops be reassigned and formed into squadron, and that the army moved out on the fourth night watch to take Yunnan."
378,ganduhai mimbe jai meyen banjibuha.,Ganduhai assigned me to the second squadron.
379,tofohon-i dobon dulin de jurafi. ma lung jeo be duleme. jak_nju ba yabuha.,"We set out in the middle of the night of the fifteenth, and, passing Malongzhou, we covered 80 li."
380,beise-i bayara kaidu moringga amcanjiha.,A single horseman of Beise’s guards caught up with us.
381,juwan uy_n de hahilame i lung be dulefi.,On the sixteenth we hurried through Yilong
382,guwan so ling-ni dabagan be dabame emu tangg_ orin ba yabufi. yang lin de isinjiha.,"climbed over the Guansuoling mountain ridge, and reached Yanglin after having covered 120 li. "
383,donjici h_lha _ang ban kiyoo de ing iliha bi sembi,we heard that the bandits were camped at Shangban Bridge.
384,juwan nadan de amba jiyangiy_n ilan meyen-i cooha be uksilebufi faidafi. ibeme g_sin ba yabufi.,On the seventeenth the Field Marshal ordered that the troops of three squadrons line up in formation in full armor and proceed for 30 li. 
