ID,Manchu,English,Source,Comment
183,bi ambula ališame yaburede kutule hibcan. morin akū ainara seme. jibehun-i dolo akame songgombi.,"I was greatly distressed, and thought, “How am I going to go on now that the servants are few and I have no horses?” I wept in sorrow under the blanket.",,
184,umai araha akū ofi. bi inenggidari omimbi. hehe be inu uncafi morin udaha.,Since there was absolutely nothing that could be done I drank every day and even sold a woman to buy horses.,,
185,orin de gūsai ejen hife. jiha efire. arki nure omire. loho asharakū oci. nambuha be tuwame weile arambi seme fafulaha.,"On the twentieth, Lieutenant-general Hife issued an order that those caught in gambling, drinking alcohol, and not wearing swords, would be punished.",,Change eifire to efire; corrected the translation (jiha efire - gambling. not spending money)
186,anagan-i jakūn biyai ice de.,"On the first day of the eighth intercalary month,",,
187,hife se hebe acafi. jiyangiyūn geli ufaraha. cooha mohoho turgun be wesimbuki seme gisurefi.,Hife and others held a meeting to report to the emperor that the general had died and that the troops were exhausted.,,
188,yūn nan be gaime dosici. coohai morin wajifi. sonjoci arkan emu nirui sunjata ton-i cooha be bahambi seme wesimbuhe.,"They also memorialized that if they were to advance and take Yunnan, once all the army’s horses had been used up, one would scarcely manage to select five soldiers out of each company.",,
189,juwan emude beging-ni hoton de ambarame na aššaha. ambula hiya seme donjifi. ,"On the eleventh we heard of a big earthquake in the city of Beijing, and of a great drought.",,
190,bi ambula tuksitehe.,I became very worried.,,
191,juwan ilan de nan ning-ni hoton-i dorgi tuwa dafi. guwali inu tuwa daha.,On the thirteenth there was a fire inside Nanning city that extended even to the suburbs.,,
192,orin de jurgan-i unggihe bithede. gūsai ejen lebei be jiyangiyūn sindaha sehebi.,"On the twentieth, in a document sent by the Ministry, it was said that Lieutenant-general Lebei was to be appointed as our new Field Marshal.",,
193,gūwa hendume juken sehe:,The others said it was just right.,,
194,orin jakūn de jalan-i janggin fulu seme mimbe nakabuha.,"On the twenty-eighth, because there were too many colonels, I was discharged from that post.",,
195,uyūn biyai ice de ganduhai buyarame morin be tolome orho liyoo gaimbi seme.,On the first day of the ninth month Ganduhai petty-mindedly decided that people would receive fodder on the basis of the number of horses.,,
196,janggin cooha morin be baicafi ekiyefi. uncehen tolome orho liyoo gaibure jakade. geren gemu ambula tooha.,"After officers and soldiers checked the number of horses which had decreased. Because [Ganduhai] then allotted fodder on the basis of the number of tails, everybody was scolding vehemently.",,Corrected the translation to better align with the Manchu context
197,ice ninggude yūn nan be gaime dosi seme hacihiyara bithe isinjifi selgiyefi.,On the sixth an urgent dispatch arrived ordering that we invade and conquer Yunnan.,,
198,janggin cooha be tucibure de. meiren-i janggin masitai mimbe morin kutule hibcan seme tucibuheku.,"When officers and soldiers were about to set out, Brigadier-general Masitai did not send me because my horses and servants were so few. ",,
199,barkan age. gioroi afan. ganduhai baru gisurefi mimbe murime tucibuhe.,"Baikan Age and Gioro Afan talked to Ganduhai, insisting sending me out.",,Corrected translation to better align the Manchu context
200,juwan biyai juwan de.,"On the tenth of the tenth month,",,
201,jurgan ci unggihe bithede. gūsai ejen laita be julergi be dailara amba jiyangiyūn obufi. yūn nan be gaime dosikini sehebi.,"in a document sent from the Ministry, it was said that Lieutenant-general Laita had become Field Marshal to Wage War to the South, and was now to invade and conquer Yunnan.",,
202,juwan emude beging-ni cooha. nan ning de jime. gūsai ejen maci bargiyahakū ofi usame isinjiha.,"On the eleventh the Beijing troops reached Nanning, but were disappointed because Lieutenant-general Maci did not go out to receive them when they arrived.",,Corrected miswritten useme to usame
203,Juwan nadan de gūsai ejen joo liyan amargi meyen-i cooha be baksan banjibufi yabume.,On the seventeenth Lieutenant-general Zhao Lian ordered that the rear-guard troops continue to march divided up into squads.,,
204,nan ning be dosire be tuwaci. ambula horonggo ofi geren gemu saimaha.,"When we saw them enter Nanning, everyone praised them for their imposing appearance.",,
205,oššon biyai ice sunja de.,"On the fifth of the eleventh month,",,
206,hesei takūraha dailara cooha be tuwame jurambure ashan-i da ekuri. julergi be dailara amba jiyangiyūn laita gemu nan ning de isinjifi. ,Imperially appointed to supervise the expeditionary army Sub-Chancellor of the Grand Secretariat Ekuri and Field Marshal to Wage War to the South Laita reached Nanning. ,,
207,uheri cooha be ilan meyen banjibufi. ,They divided the whole army into three squadrons,,
208,tofohonde hife. araha meiren-i janggin herbu uju meyen be gaifi jurambi. ,On the 15th Hife and Commissioned Brigadier-general Herbu will set out at the head of the first squadron. ,,
209,juwan jakūn de gūsai ejen maci.meiren-i janggin hungsilu. ujen cooha-i gūsai ejen joo liyan jai meyen be gaifi jurambi.,"On the 18th Lieutenant-general Maci, Brigadier-general Hong Shilu, and Lieutenant-general of the Hanjun Zhao Lian will set out at the head of the second squadron.",,
210,orin ilan de amba jiyangiyūn laita. gūsai ejen lebei. tui janggin ehene. meiren-i janggin masitai. ujen coohai meiren-i janggin dzu jy cun ilaci meyen be gaifi. yūn nan be gaime jurambi.,"On the 23rd Field Marshal Laita, Lieutenant-general Lebei, Major-general of the Guards Ehene, Brigadier-general Masitai, and Brigadier-general of the Hanjun Zu Zhichun, at the head of the third squadron will set out to take Yunnan.",,
211,geren cooha gemu ihan emke juwe udaha.,All the soldiers bought one or two cows.,,
212,ihan orin yan. morin ninju. nadanju yan de uncambi.,"Cattle were sold at 20 ounces per head, and horses at sixty or seventy.",,
213,amba jiyangiyūn. janggisa be yooni isabufi faššame yabuki serengge tuci seme fonjiha.,"The Field Marshal gathered the officers, and asked that those willing to struggle on step forward.",,
214,geren le la seme. bi bi gemu hoton. hiyahan be ucaraci fekumbi seme. kar mir seme jabumbi.,All answered in one loud voice: “Each and every one of us will leap forward whenever we meet city walls and battlements.”,,
215,mini morin damu duin funcefi.,I only had four horses left.,,
216,duin tanggū yan de duin morin. ninggun ihan udaha.,With 400 ounces of silver I bought four horses and six head of cattle.,,
217,kutule morin umesi hibcan ofi. ambula ališame joboho.,"Because horses and servants were so few, I was worried and distressed.",,
218,ice sunja-i dobori wargi ci tucike usiha. šanggiyan sukdun sumakangge orin da funcembi.,On the night of the fifth a star appeared in the west; it had a white mist that spread across an area of over 20 da.,,
219,arbun loho-i adali. da-i ergi fulahūn sabumbi.,"One could see that in shape it resembled a sword, and it was red at the base.",,
220,niyalma tome diyan-i baru dosici ehe seme gisurehe.,Everyone said that if it advanced towards the imperial palace it would be a bad omen.,,
221,tere yūn nan be toktobure todolo bihebi.,this was an auspicious sign for the pacification of Yunnan.,,
222,nan ning de gūsa tome janggin juwe. tulergi monggo cooha be dabume morin akū sakda. nimekungge emu nirui juwete uksin be werirede. bi yeremu. handu sei jergi juwan ilan uksin be werihe.,"Since two officers from each banner and, in addition to the Outer Mongol troops, two armored soldiers from each company who were without horses, old, or sick were to be left in Nanning, I, Yeremu, Handu, and the others left thirteen armored soldiers.",,
223,ganduhai mimbe uju meyen de banjibuha.,Ganduhai made me join the first squadron.,,
224,tofohon de gūsai ejen hife se uju meyen-i ilata bayara. sunjata aliha cooha be gaifi. nan ning ci jurafi. ,"On the fifteenth Lieutenant-general Hife and the others, leading the first squadron, which was formed by three bayara guards and five cavalrymen [out of each company], left Nanning, ",,
225,orin ba yabufi tataha.,after a march of 20 li set up camp.,,
226,minde kutule morin komso ofi. munahūn-i jurafi. damu dain de buceki seme gunime. gebu gaiki sembi.,"Because I only had a few servants and horses left, I departed in a surly mood, and could only think that I would die in battle, and gain honor.",,
227,u yuwan hiyan-i sunja ba golmin alin-i angga de yarubufi.,We were led into a 5 li long mountain pass in Wuyuan county.,,
228,cibume juwe dobori dulifi.,we squeezed through it for two nights.,,
229,juwan nadan de teni angga be tucike.,On the seventeenth we finally came out of the mountain pass.,,
230,u yuwan hiyan be dulefi. dobori dulihai alin-i angga. alin-i jidun-i narhūn jugun be mudakiyame jodome yarubufi . ,"Having past Wuyuan county, then we were led in a meandering manner, stopping and going, on a narrow path through mountain passes and along the back of the mountain.",,
231,ninggun tanggū babe juwan duin inenggi. dobori dulime yabufi.,Proceeding at night we covered 600 li in fourteen days.,,
232,orin jakūn de,"On the twenty-eighth,",,
233,tiyan jeo de isinafi tuwaci. hūlha burulahabi.,"when we reached Tianzhou, we realized that the bandits had already fled.",,
234,jen yuwan. gui jeo be baha seme donjiha.,We heard that Zhenyuan and Guizhou had been taken.,,
235,orin uyūnde orin bai na biyoo de tataha.,On the twenty-ninth we marched for 20 li and set up camp at Nabiao. ,,
236,gūsin de gūsin bai je ma de tataha.,"On the thirtieth we set up camp 30 li further on, at Zhaima.",,
237,gui loo bade hūlha bi seme selgiyefi. dobori uksilehei jucelehe.,"It was announced that there were bandits in Guiluo, so at night we mounted guard wearing armor.",,
238,jorgon biyai ice de uksilef i orin ba yabufi. ju jio tang de tataha.,On the first day of the twelfth month we marched in full armor and set up camp in Zhujiutang.,,
239,gui loo-i hūlha burulahabi.,The rebels of Guiluo had fled.,,
240,ice juwe de hife se handu baifi. dehi inenggi jetere bele niohume gaisu. amba jiyangiyūn be aliyame indembi seme selgiyehe.,"On the second Hife and others issued the following order: “Search for unhusked rice, and obtain and pound rice for forty days; then rest and wait for the Field Marshal.” ",,
241,kūwaran-i tome yooni heliyen congkišakū arafi. eye feteme handu baifi bele niohumbi.,"Everyone in the encampment was making pounders and pestles, digging holes, and looking for unhusked rice to pound into husked rice.",,
242,ice duide amba jiyangiyūn aliya seme bithe unggihe.,On the fourth the Field Marshal sent a dispatch ordering to wait.,,
243,ice sunja de tusy-i da mu wang dahaha.,On the fifth the leader of local chiefs Muwang surrendered.,,
244,nenehe jiyangiyūn manggitu-ni unggihe jiyansi jifi. tiye so kiyoo de hūlha tuwa sindafi burulaha. musei tidu sangge lu šui giyang be dooha seme alambi.,"Spies previously sent by General Manggitu came back and reported that the rebels had fled after setting the Tiesuo bridge on fire, and our Provincial Military Commander Sangge had crossed the Lushui river.",,
245,hebei amban. kūwaran da. tui bayara janggin se acafi hebdefi. meni cooha damu sunja inenggi bele arame bahambi. jai sunja inenggi bele bufi. eici dosire. amba jiyangiyūn be aliyara babe. amba jiyangiyūn-i gisun be dahame yabuki seme bithe alibuha.,"The councilors, camp commanders, and the major-generals of the Guards met to deliberate, and thereafter submitted the following written report:                                
Our troops have obtained provisions for five days only. If [you] provide them with food for another five days, then we shall follow the Field Marshal’s order as to whether we should set out or wait here for the Field Marshal.",,
246,ice ninggude. amba jiyangiyūn-i unggihe bithede.,"On the sixth, in a document sent by the Field Marshal",,
247,gui jeo be alibume tidu libenšen.siyun fu dzoo šen gi dahaha:ne suwende juwan cuwan-i bele unggihe.mimbe aliya sehebi.,"it said: “Provincial Commander Li Benshen80 and Provincial Governor Cao Shenji have surrendered, giving up Guizhou. Now, I have dispatched ten boats to you with rice. Wait for me.”",,
248,je ma tang-ni bade juwan emu inenggi indehe.,We rested in Zhaimadang for eleven days.,,
249,juwan juwede dosi sere bithe isinjifi jurafi.,"On the twelfth we received a written order to advance, and set out. ",,
250,jugun hafirahūn alin-i holo isheliyen. handu cyse lifakū ofi. akame jobome. morin-i aciha tuheme lifame.,"Because the road was a cramped pass in a narrow mountain ravine, and because of the swampy rice fields, the march was extremely hard and distressing and the horses’ loads fell off or got stuck. ",,
251,jakūn dobori dulime. juwe tanggū uyūnju babe yabuha.,"We proceeded for eight nights, covering 290 li.",,
252,juwan uyūn de ba du ho bira muke de ehe sukdun bi. ume jetere seme selgiyehe.,On the nineteenth we were ordered not to drink the water of the Badu river because there was a bad smell.,,
253,hife sei unggihe emu bithe de. janggin-i beye de afabume. amba jiyangiyūn de benebu sehebi.,"A document was sent by Hife and others, which ordered that it should be entrusted to the officers to be delivered in person to the Field Marshal.",,Corrected the translation
254,musei gūsa de isinjifi. ganduhai minde bufi benehe.,After this document reached our Banner Ganduhai handed it over to me and I delivered it.,,Corrected the translation
255,orin de yan yang tang ci jurafi. bujan-i dorgi be yabume. šun be saburakū.,On the twentieth we set out from Yanyangtang and marched through a forest where sunlight could not be seen.,,
256,tofohon bai dubede yarume tataha.,After marching in close order for 15 li we set up camp.,,
257,orin emude gūsin sunja ba yabufi. si lung jeo de isinaf i tataha.,"On the twenty-first we marched for 35 li, reached Xilongzhou and set up camp.",,
258,tiyan jeo. si lung jeo-i siden ilan tanggū jakūnju ba funcembi.,The distance between Tianzhou and Xilongzhou exceeds 380 li.,,
259,si lung jeo efujefi hoton akū. susu-i muru bi.,"After Xilongzhou was captured, no walls were left and the place had a barren and desolate appearance.",,
260,lung tu guwan dahafi. ba nai tusy sunja tanggū okdome jifi.,"Longtukuan surrendered, and 500 native chiefs came to welcome.",,
261,fukiyoo cabume. muse moo sacifi buhe.,We chopped wood and gave it to them to build a pontoon bridge.,,
262,orin juwede amba jiyangiyūn hebei ambasa be isabufi. hebešefi fukiyoo manggame juraki.,"On the twenty-second the Field Marshal met with the councilors, and decided to set out as soon as the pontoon bridge had been completed.",,
263,niowanggiyan tu be juleri. sirame sonjoho uju meyen-i gabsihiyan. emu nirui ilata bayara. ilata aliha cooha be yabubuki. gemu orin sime bufi. hebei amban lebei. hife. ehene se gaifi. orin ninggude jurakini.,"Put the Green Standard troops in front, followed by a select first squadron with the Vanguard Regiment and three guards and three cavalrymen from each company, and be given a full complement of horses. Under the command of Councilors Lebei, Hife, and Ehene, it shall shall set out on the 26th.",,
264,sonjoho jai meyen-i juwete bayara. ilata aliha cooha de gemu morin sime bufi. amba jiyangiyūn. hebei amban maci. hungsilu. herbu. joo liyan se gaif i amala jurambi.,"A select second squadron, composed of two guards and three cavalrymen from each company, with a full complement of horses, led by the Field Marshal and by Councilors Maci, Hong Shilu, Herbu, Zhao Lian, and others, shall set out soon afterwards. ",,
265,nukte meyen de. gala de juwete kūwaran-i da. gūsa tome nadan janggin. emu nirui ilata moorin akū cooha de. ihan sime bufi. ,"The baggage column and the wing squadrons should be composed of two camp commanders and seven captains from each banner, and by three soldiers without horses from each company, and must be provided with cattle.",,
266,golo hoton-i sunja tanggū morin akū cooha de. inu ihan sime bufi. ,500 infantry soldiers from the provincial capital must also be provided with cattle.,,
267,amala elhe yabukini.,These shall march behind at a slower pace. ,,
268,dzungdu gin guwang dzu ini harangga niowanggiyan tu be gaifi. uncehen be fiyamjilakini,All the Green Standard troops under the direct command of Governor-general Jin Guangzu shall serve as rearguard.,,
269,ganduhai. mimbe jai meyen de banjibuha.,Ganduhai made me join the second squadron.,,
270,orin ninggude uju meyen-i cooha juraka.,On the twenty-sixth the troops of the first squadron left.,,
271,elhe taif in-i šahūn coko orici aniya.,"On New Year’s Day of the twentieth year of Kangxi,",,
272,aniyai ice inenggi si lung jeo ci jurafi. fukiyoo be doofi.,"year of the White-Gray Rooster, we left Xilongzhou, and passed the pontoon bridge. ",,
273,ba di ho bira be tuwaci. muke niowanggiyan bime. eyen turgen. alin birai cikin-i jugun juwe cy isimbi.,"One could see that the river water looked greenish, the current was fast, and the track on the bank of the river, along the mountainside, was only two feet wide.",,
274,cooha morin yarubufi cibume. ilihai juwan ba yabuhakū yamjifi.,Soldiers and horses were all pressed one against the other. We had not proceeded 10 li when it became dark.,,
275,tatara ba baharakū ofi. birai dan-i yonggan de tatafi .,"Because it was impossible to find a place to camp, we pitched our tents in the sand on a bend of the river. ",,
276,edun de yonggan furgime. muke nure udu gin. ulgiyan emke udafi aniya araha.,"The sand was being lifted up in the wind. We bought a few pints of water and spirits, and one pig to celebrate the New Year. ",,
277,bi dolori akame ureme damu sakdasa be kidume gūnime. jibehun-i dolo songgoho.,"In my heart I felt sad and disconsolate and, longing for my old people, I wept under the blanket. ",,
278,amba jiyangiyūn jugun narhūn. ing ilire ba akū. siran siran-i acara be tuwame ili seme selgiyehe.,The Field Marshal issued an order: “The road is narrow; there is no place to set up the encampment. Pitch the tents one after the other as you see fit.”,,
279,bai irgen be gajif i fonjici. ,We brought in some local people and questioned them.,,
280,julgeci ebsi cooha yabuha jugun waka. hangsi ci amasi. tojin. meihe. beten bira de jalufi. bira duranggi ofi. muke bisakade. jugun uribufi. niyalma yabuci ojorakū. ,"Since ancient times there has never been a road for a marching army. After the hangsi festival, peacocks, snakes, and worms fill the river. Because the river is muddy, when the water overflows the road becomes submerged and people cannot get through. ",,
281,ehe sukdun de goici bucembi. tuttu of i meni boo be alin-i ninggude arahabi.,"If they are struck by foul vapors, they will die. Therefore we build our houses on the top of the mountain.",,
282,tuwaci mukei hirgen moo-i subehe de. aššan kemuni takahabi. ,"Upon observation, one could often detect movements on the riverbed and in the branches of trees.",,
283,jai inenggi jurafi ilihai yamjime. emu juwe maikan arara bade yarume tatame. ,"On the next day we departed and, as soon as night started to fall, we filed into a place where only one or two tents could stand, and set up camp.",,
284,ice ilan de ši men k’an-i hūlha be gidaha seme donjiha.,On the third we heard that the rebels at Shimen Ridge had been defeated.,,
285,ice jakūn de teni ban dun teng de isinafi tatafi. ,Not until the eighth we reached and set camp at Bandunteng.,,
286,ši men k’an de cibufi jakūn inenggi indehe.,"Squeezed tight, we stopped at Shimen Ridge for eight days.",,
287,jugun de orho sekteme yabu seme selgiyehe.,Then we were ordered to cover the road with grass when marching.,,
288,tofohon de jurafi.,On the fifteenth we set out again,,
289,ser seme bonome agara jakade. tofohon ba dabagan-i narhūn jugun be yafahan šaban huwaitafi yabume. ši men k’an-i fejile tataha.,"because it was raining and hailing lightly, we strapped leather and iron cleats and walked on foot on the narrow mountain road for 15 li, and set up camp at the foot of Shimen Ridge.",,
290,juwan ninggude ši men k’an-i uju terkin be micume tafame.,"On the sixteenth crawling and slipping along the way, we climbed up to the first level of Shimen Ridge. ",,
291,kanggarame niolmon. orho sektefi. morin be emke emken-i ganame arkan seme lifakū ehe babe dulerede.,"We spread grass on the slippery moss, and fetching the horses one by one, we crossed with great effort that swampy and hideous place.",,
292,tuwaci gulakū de morin fuhemefi labdu bucehebi.,One could see that many horses had fallen into the precipice and died.,,
293,niyalmai bethe yooni fukanafi yabuci ojorakū.,"The men’s feet were covered with blisters, and could not go any further.",,
294,ilan ba yabufi farhun oho.,After we had walked for 3 li it was getting dark.,,
295,tuheme afame arkan jai k’an-i wehe terkin be dulefi tataha.,"Staggering and stumbling, we struggled on crossing over the rock layer of the second ridge, and set up camp.",,
296,tuwaci waha hūlha emke emken-i bi.,One could see one by one the bodies of the rebels who had been killed.,,
297,juwan nadan de yafahan orin ba yabufi.,On the seventeenth we marched 20 li on foot. ,,
298,bethe nimeme. arkan seme ilaci k’an-i terkin edulefi. morilaci ome selafi.,"With aching feet we struggled to cross over the third level ridge, where we rejoiced for being able to ride horses.",,
299,geneme an lung so de isinafi.,So we proceeded until we reached Anlongsuo.,,
300,tuwaci hūlha dahafi irgen-i hehe juse be hoton-i baru gajime jimbi ,One could see that the rebels who had surrendered were coming towards the city taking the common people’s women and children.,,
301,bi teni toktoho ba seme. bakcilaha kūwaran-i da hose-i baru gisurefi. ,"I thought that was just the right place to stop, and said so to Hose, who is the head of the encampment that faces mine.",,
302,hoton be dulefi tataha.,We set up camp after we passed the city. ,,
303,si lung jeo ci an lung so-i siden ehe jugun juwe tanggū orin sunja ba funcembi.,Between Xilongzhou and Anlongsuo there are over 225 li of awful road.,,
304,juwan jakūn de jurafi.,On the eighteenth we set out.,,
305,tuwaci ba šehun onco.,The area appeared wide and barren.,,
306,julergi meyen be amcame dobori dulime ninju ba yabuha.,"We joined up with the squadron in front and, marching all night, we covered 60 li.",,
307,juwan uyūn de indefi selgiyefi ilan meyen banjiburede.,On the nineteenth we rested. An order was issued that we form three ,,
308,ganduhai.mimbe uju meyen de banjibuha.,Ganduhai assigned me to the first squadron.,,
309,orin emude amba jiyangiyūn kubuhe lamun dobori dulime joboho seme.,On the twenty-first the Field Marshal said that the Bordered Blue Banner would have to endure an overnight march.,,
310,gajartai nikan emke bufi. juwe inengg dokolome jakūnju ba yabuha.,"We were given a Chinese guide, and in two days we covered 80 li taking shortcuts.",,
311,orin ilande ma biye ho bira be fukiyoo came indehe.,On the twenty-third we built a pontoon bridge on the Mabie River and rested.,,
312,hūlha huwang dzoo ba de ing ilifi. alime gaihabi seme donjiha,"We heard that the rebels were camped at Huangcaoba, and ready to resist.",,
313,orin ninggude fukiyoo šanggafi.,On the twenty-sixth the bridge was completed,,
314,uheri nukte de emu nirui emte morin akū cooha be werifi. cimari gemu uksilefi bira doombi seme selgiyehe.,"we were ordered to leave one soldier without horse from each company with the entire baggage train, and to cross the river on the next day wearing armor.",,
315,orin nadan de amba jiyangiyūn amba cooha be gaifi. bira be doofi.,On the twenty-seventh the Field Marshal crossed the river with the whole army,,
316,šehun babe gūsin ba yabufi hūlhai ing de nikenefi.,after a march of 30 li over a barren territory we approached the rebels’ encampment.,,
317,tuwaci lifakū handu cyse. alin be gaime. keremu ulan arafi ing ilihabi.,"One could see the swamp-like rice paddies. An encampment has been set up against the mountain, and protected with ramparts and moats.",,
318,ba ambula ehe. afaci ojorakū ofi. uthai cooha be gocika. ,"That place was a really wicked one, and could not be attacked. Therefore the general withdrew the army. ",,
319,ging hecen ci giyamun ilibume jihe icihiyara hafan walda se isinjifi .,"Departmental Director Walda and others, who had come from the capital to build relay stations, arrived ",,
320,dergici. hafan coohai sain be fonjiha. ,"An imperial dispatch, in which the emperor inquired about the well-being of officers and soldiers.",,
321,amba jiyangiyūn geren be gaifi. aniya doroi hengkilehe.,"The Field Marshal, leading everyone else, prostrated himself in accordance with the New Year’s rites.",,
322,orin jakūn de ma biye ho bira be doofi. sunja ba yabufi ing ilifi. yooni uksilehei jucelehe.,"On the twenty-eighth we crossed the Mabie River and, after a 5-li march set up camp, mounting guard in full armor.",,
323,orin uyūnde amba jiyangiyūn amba cooha be gaifi. faidafi ibeme.,On the twenty-ninth the Field Marshal arranged the army in rows and advanced.,,
324,alin bigan be sektefi. orin sunja ba yabufi. afara arame. hūlhai ing be fehufi kimcime.,"We went through the mountain and the wilderness, and after a march of 25 li, feigning an attack, we closed in on the rebels’ camp. ",,
325,tuwaci cin-i dere be afaci ojorakū.,We realized that it was impossible to attack it frontally.,,
326,fiyanjilafi akdulame bakcilame ing iliha.,"We came to the rear, and made fortifications and set up our camp in front of it.",,
327,juwe biyai ice de. uheri cooha be baksan baksan jergi jergi faidabufi.,On the first day of the second month the whole army was ordered to line up by units and ranks.,,
328,ibefi afara babe toktobume tuwaha.,"We advanced, and tried to decide the place we were going to attack.",,
329,musei coohai hūsun ambula etuhun.,Our troops are mighty and powerful.,,
330,ice juwe de,On the second,,
331,amba jiyangiyūn.ing be tuwakiyara duin tanggū manju cooha. emu minggan niowanggiyan tu cooha be yarkiyabume. cin-i dere de bakcilabufi.,the Field Marshal ordered 400 Manchu soldiers and 1000 Green Standard soldiers who were mounting guard at the camp to make a frontal attack as a decoy. ,,
332,makmaha meyen de hebei amban ehene. maci. uju meyen de hebei amban hife. hungsilu. herbu. meiren-i janggin masitai. ujen coohai dzu jy cun. jai meyen de gūsai ejen lebei. ujen coohai joo liyan sede cooha be afabufi .,"Then he ordered Councilors Ehene and Maci to lead the wing squadron; Councilors Hife, Hong Shilu, Herbu, Lieutenant-general Masitai, and Zu Zhichun, of the Hanjun, to lead the first squadron; and Lieutenant-general Lebei and Zhao Lian, of the Hanjun, to lead the second squadron. ",,
333,niowanggiyan tu be juleri. manju cooha be amala duin ursu faidabufi.,"He also ordered the Green Standard troops to line up in front, and the Manchu troops in the rear, arranged in four echelons. ",,
334,kalka gida jafabufi. hūlhai ing ni amargi narhūn alin-i jugun be gaime iberede.,Holding shields and spears [we] advanced along a narrow mountain road behind the enemy camp. ,,
335,gaitai talman talmafi hanci niyalma be ishunde saburakū.,Suddenly a thick fog rose and even men [standing] close-by could not see one another.,,
336,alin-i angga de hūlha belheheku. ,The rebels at the entrance of the mountain pass were not ready. ,,
337,musei cooha dosifi. poo jilgan be lakcarakū donjimbi.,"Our troops advanced, and we could hear the inces- sant sound of artillery. ",,
338,musei gamaha kalka be waliyahangge jugun de hihahabi.,Shields that had been abandoned by our troops could be seen everywhere on the road.,,
339,bi tu be gaifi feksime genefi. alin-i anggai dolo dosifi. tuwaci hūlha ingci tucifi. hiyahan. kalka. sufan be faidafi. musei niowanggiyan tu baru afambi. ,"Carrying a flag I ran forward, entered the mountain pass, and saw rebels who, had come out of the encampment, lined up chevaux-de-frise, shields and elephants, and joined battle with our Green Standard troops. ",,
340,poo miyoocan-i jilgan turi tashara adali. na durgembi.,"The fire from cannon and muskets sounded like frying beans, the earth was shaking.",,
341,musei niowanggiyan tu šahuri feye bahafi. emu jergi aššafi tomsoho.,"Šahuri, a man of the Green Standard, received a wound, but got up once again. ",,
342,musei uju meyen. šakšaha meyen kaicame dosirede.,Our first and wing squadrons advanced yelling.,,
343,na ujelere gese.,It was as if the earth itself was falling down.,,
344,hūlha alime muterakū. gidabufi burulara de.,"The enemy could not hold their ground and, been overwhelmed, started to flee.",,
345,bi tu be gaifi. wame alin-i ing de nikename.,"I was carrying a flag and, killing, came closer to the camp on the mountain side.",,
346,ing-ni hūlha keremu sangga ci miyoocan sindambi.,The rebels in the camp were firing their muskets from holes in the ramparts.,,
347,ebšeme alin ci wasifi. moringga hūlha be sunja ba fungeme bošome waha.,Hurrying down the mountain slope I pursued and killed mounted rebels for 5 li.,,
348,cooha be bargiyafi bederere de. tuwaci giran hetu undu bigan de sektefi. ,"When the troops were recalled and returned to the camp, one could see corpses covering that wilderness in all directions.",,
349,senggi nade eyembi.,Blood was flowing on the ground. ,,
350,ing de poo miyoocan agura hajun ehe sain jaka be hiyahame waliyahabi.,"In the camp cannons and rifles, whether in good or bad condition, had been abandoned all over the place. ",,
351,sufan sunja baha.,We captured five elephants.,,
352,jafaha hūlhai jiyangiyūn wang io gung. an yang de fonjici. hūlhai holo jiyangiyūn ho gi dzu. wang hung siyun. joo ioi. wang hung gioi. bakimeng jang- guwang siyan. lio mi jen meni uyun nofi. uheri juwe tumen isire hūlha be gaifi. kioi jing fu. loo ping jeo-i oyonggo jugun-i huwang dzoo ba be tuwakiyame bihe seme alambi.,"When they were interrogated, the captured rebel generals Wang Yougong and Zhan Yang reported that the rebel false generals He Jizu, Wang Hongxun, Zhao Yu, Wang Hongju, Ba Qisheng, Zhang Guangxin, Liu Shizhen, and themselves, nine people in all, at the head of approximately 20,000 soldiers all together, were protecting Huangcaoba, on the strategic road to Loping, in the Qujing Fu.",,
353,ice ilan de indefi.,On the third day we rested. ,,
354,janggin cooha be forgošome meyen banjibure de. ganduhai kemuni mimbe uju meyen de bibuhe.,"When officers and soldiers were reassigned and squadrons were formed, Ganduhai assigned me again to the first squadron.",,
355,ice duide dehi ba yabufi. dobori tataha.,"On the fourth we marched for 40 li, and then set up camp at night.",,
356,ice sunja de dehi ba yabufi. huwang ni ho bira be dooha.,On the fifth we marched 40 li and crossed the Huangni River.,,
357,ice ninggude dabagan dabame. dobori dulime gūsin ba yabuha.,"On the sixth we climbed over a mountain ridge and, marching overnight, covered 30 li.",,
358,ice nadan de amba yūn nan po dabagan be yafahan tafarade,"On the seventh, as we were climbing on foot the great mountain ridge of Yunnanbao",,
359,amba edun dame. yonggan buraki de yasa sohime yabuci ojorakū .,"a formidable wind rose, and because the sand was getting into our eyes, it became impossible to proceed.",,
360,gūsin ba yabufi. dobori farhun talman talmaka.,"Having marched 30 li, it got dark for the night, and a heavy fog rose up.",,
361,ice jakūn de amba edun dame.,"On the eighth a strong wind blew,",,
362,buraki de yasa neici ojorakū.,it was impossible to open our eyes because of the dust.,,
363,i dzo hiyan be duleme ninju sunja ba yabuha.,We passed Yizuo county covering 60 li.,,
364,ice uyūn de gūsin ba yabufi. hūwang ho san de ilifi.,"On the ninth we marched 30 li, then stopped at Huanghe Mountain",,
365,kioi jing. giyoo sui de mejige gaime. gūsa de emu janggin.orin uksin be tucibu seme selgiyehe.,"We were ordered to send a Banner officer, together with twenty armored soldiers, out on a mission to gather information in Qujing and Jiaoshui.",,
